Registration Number,Registration Via,Card Number,STID Number,Plat Number,Company,Date Active,Date Expired,Date Request,Date Submit,Date Approval
REQ22SUB00037,ORGANDA,0000000966962348,CA4000025,L9781UE,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00038,ORGANDA,0000000668170189,CA4000027,L9220UV,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00039,ORGANDA,,CA4000651,L9262UO,PT. SUMBER MAKMUR BANGKIT,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00040,ORGANDA,0000000579255518,CA4000028,L9594UU,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00041,ORGANDA,0000000969420204,CA4000026,L9192UO,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00042,MANDIRI,0000000967318700,CA4000016,L8303UO,TRANS OCEAN SERVICES INDONESIA,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00043,MANDIRI,0000000921577708,CA4000033,L8264UF,TRANS OCEAN SERVICES INDONESIA,2022-7-28,2024-7-28,2022-7-28,2022-7-28,2022-7-28
REQ22SUB00044,MANDIRI,0000000915360460,CA4000035,L8676UF,TRANS OCEAN SERVICES INDONESIA,2022-7-28,2024-7-28,2022-7-28,2022-7-28,2022-7-28
REQ22SUB00045,MANDIRI,0000000914949324,CA4000036,L8018UQ,TRANS OCEAN SERVICES INDONESIA,2022-7-28,2024-7-28,2022-7-28,2022-7-28,2022-7-28
REQ22SUB00046,MANDIRI,0000000956859596,CA4000034,L8460UO,TRANS OCEAN SERVICES INDONESIA,2022-7-28,2024-7-28,2022-7-28,2022-7-28,2022-7-28
REQ22SUB00047,ORGANDA,0000000584063710,CA4000032,L9263UO,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-28,2022-7-28,2022-7-28
REQ22SUB00048,MANDIRI,0000000958880940,CA4000038,L9856UF,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-28,2022-7-28,2022-7-29
REQ22SUB00049,ORGANDA,0000000574922718,CA4000055,L8470UT,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-28,2022-8-1,2022-8-1
REQ22SUB00050,MANDIRI,0000000586903518,CA4000039,L9194UW,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-28,2022-7-28,2022-7-29
REQ22SUB00051,ORGANDA,0000000910751452,CA4000057,L8095UI,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-28,2022-8-1,2022-8-1
REQ22SUB00052,ORGANDA,,NA4000026,L8955UB,PT. SUMBER MAKMUR BANGKIT,,,2022-7-28,2022-9-9,2022-9-10
REQ22SUB00053,ORGANDA,0000000585771998,CA4000073,L8530UM,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-28,2022-8-1,2022-8-2
REQ22SUB00054,MANDIRI,0000000922187660,CA4000040,L9198UA,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-28,2022-7-28,2022-7-29
REQ22SUB00055,ORGANDA,0000000581701598,CA4000054,L9365UI,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-28,2022-8-1,2022-8-1
REQ22SUB00056,MANDIRI,0000000663448525,CA4000037,L9764UA,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-28,2022-7-28,2022-7-29
REQ22SUB00057,MANDIRI,0000000661026509,CA4000042,L9586UC,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-28,2022-7-28,2022-7-29
REQ22SUB00058,MANDIRI,0000000919146476,CA4000043,L9877UB,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-29,2022-7-29,2022-7-29
REQ22SUB00059,MANDIRI,0000000960730796,CA4000044,L9656UQ,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-29,2022-7-29,2022-7-29
REQ22SUB00060,MANDIRI,0000000969322156,CA4000079,L9504UP,PLANET EXSPRESS TRANSJAYA,2022-8-4,2024-8-4,2022-7-29,2022-8-3,2022-8-4
REQ22SUB00061,MANDIRI,0000000659810493,CA4000045,L8653UZ,TRANS OCEAN SERVICES INDONESIA,2022-8-1,2024-8-1,2022-7-29,2022-7-29,2022-8-1
REQ22SUB00062,MANDIRI,0000000956448428,CA4000041,L8082UM,TRANS OCEAN SERVICES INDONESIA,2022-7-29,2024-7-29,2022-7-29,2022-7-29,2022-7-29
REQ22SUB00063,ORGANDA,0000000665397197,CA4000053,L9950UO,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-29,2022-8-1,2022-8-1
REQ22SUB00064,ORGANDA,,NA4000027,L9142UA,PT. SUMBER MAKMUR BANGKIT,,,2022-7-29,2022-9-9,2022-9-10
REQ22SUB00065,ORGANDA,0000000576400094,CA4000056,L8735UZ,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-29,2022-8-1,2022-8-1
REQ22SUB00066,ORGANDA,0000000576036574,CA4000072,L9872UD,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-29,2022-8-1,2022-8-2
REQ22SUB00067,ORGANDA,0000000576170462,CA4000074,L9492UG,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-29,2022-8-1,2022-8-2
REQ22SUB00068,ORGANDA,0000000582990046,CA4000075,L8443UF,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-29,2022-8-1,2022-8-2
REQ22SUB00069,ORGANDA,0000000573071326,CA4000076,L8940UK,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-29,2022-8-1,2022-8-2
REQ22SUB00070,ORGANDA,0000000921129612,CA4000077,L8969UK,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-7-29,2022-8-1,2022-8-2
REQ22SUB00071,MANDIRI,0000000968976812,CA4000046,L8339UD,TRANS OCEAN SERVICES INDONESIA,2022-8-1,2024-8-1,2022-7-29,2022-7-29,2022-8-1
REQ22SUB00072,MANDIRI,0000000667053773,CA4000047,L8423UP,TRANS OCEAN SERVICES INDONESIA,2022-8-1,2024-8-1,2022-7-29,2022-7-29,2022-8-1
REQ22SUB00073,MANDIRI,0000000918212492,CA4000048,L9589US,TRANS OCEAN SERVICES INDONESIA,2022-8-1,2024-8-1,2022-7-29,2022-7-29,2022-8-1
REQ22SUB00074,ORGANDA,0000000585021662,CA4000071,L8835UB,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00075,ORGANDA,0000000664808141,CA4000049,L8849UI,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-1
REQ22SUB00076,APTRINDO,0000000574663134,CA4000070,L8053UX,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00077,ORGANDA,0000000664039885,CA4000050,L9269UI,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-1
REQ22SUB00078,APTRINDO,0000000572762590,CA4000068,L9166UV,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00078,APTRINDO,0000000582135262,CA4000069,L9167UV,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00079,ORGANDA,0000000662526669,CA4000051,L9177UI,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-1
REQ22SUB00080,ORGANDA,0000000666043341,CA4000052,L8146UI,PT. SUMBER MAKMUR BANGKIT,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-1
REQ22SUB00081,APTRINDO,0000000577607390,CA4000060,L9698UL,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00081,APTRINDO,0000000576536542,CA4000061,L9813UL,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00081,APTRINDO,0000000575477726,CA4000062,L8903UU,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00081,APTRINDO,0000000579713502,CA4000063,L8904UU,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00081,APTRINDO,0000000583093982,CA4000064,L8969UN,PT PACIFIC TRANS INDONESIA,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00082,ORGANDA,0000000586568414,CA4000059,L8646UE,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00083,ORGANDA,0000000581938654,CA4000067,L9051UI,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00084,ORGANDA,0000000581448158,CA4000058,L9052UI,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-2,2024-8-2,2022-8-1,2022-8-1,2022-8-2
REQ22SUB00085,MANDIRI,0000000585444318,CA4000066,L8604UI,TRANS OCEAN SERVICES INDONESIA,2022-8-2,2024-8-2,2022-8-2,2022-8-2,2022-8-2
REQ22SUB00086,MANDIRI,0000000580763102,CA4000078,L9505UP,PLANET EXSPRESS TRANSJAYA,2022-8-4,2024-8-4,2022-8-2,2022-8-3,2022-8-4
REQ22SUB00087,MANDIRI,0000000583249374,CA4000065,L8600UF,TRANS OCEAN SERVICES INDONESIA,2022-8-2,2024-8-2,2022-8-2,2022-8-2,2022-8-2
REQ22SUB00088,MANDIRI,0000000958676652,CA4000080,L9271UX,PLANET EXSPRESS TRANSJAYA,2022-8-4,2024-8-4,2022-8-2,2022-8-3,2022-8-4
REQ22SUB00089,ORGANDA,,CA4000655,L9841UI,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00090,ORGANDA,,CA4000656,L8130UI,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00091,ORGANDA,,CA4000658,L9275UI,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00092,ORGANDA,0000000960111564,CA4000081,L8705UM,PT. SURABAYA EXSPRESS,2022-8-9,2024-8-9,2022-8-5,2022-8-6,2022-8-9
REQ22SUB00093,ORGANDA,,CA4000659,L9843UI,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00094,ORGANDA,,CA4000704,L9844UI,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00095,ORGANDA,,CA4000705,L8697UM,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00096,ORGANDA,,CA4000706,L8909UI,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00097,ORGANDA,,CA4000707,L8704UM,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00098,ORGANDA,,CA4000708,00120009.,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00099,ORGANDA,,CA4000709,L9278UI,PT. SURABAYA EXSPRESS,,,2022-8-5,2022-9-9,2022-9-10
REQ22SUB00100,ORGANDA,,CA4000710,L9510UI,PT. SURABAYA EXSPRESS,,,2022-8-6,2022-9-9,2022-9-10
REQ22SUB00101,ORGANDA,,CA4000711,L8132UT,PT. SURABAYA EXSPRESS,,,2022-8-6,2022-9-9,2022-9-10
REQ22SUB00102,MANDIRI,0000000922232716,CA4000105,L9258UX,PLANET EXSPRESS TRANSJAYA,2022-8-19,2024-8-19,2022-8-6,2022-8-18,2022-8-19
REQ22SUB00103,MANDIRI,0000000962970028,CA4000102,L9267UC,PT TRITUNGGAL LOGISTIK CEPAT,2022-8-15,2024-8-15,2022-8-8,2022-8-15,2022-8-15
REQ22SUB00104,MANDIRI,0000000969341340,CA4000082,L8825UM,TRANS OCEAN SERVICES INDONESIA,2022-8-9,2024-8-9,2022-8-9,2022-8-9,2022-8-9
REQ22SUB00105,ORGANDA,,CA4000712,L8311UD,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,2022-9-10
REQ22SUB00106,ORGANDA,,CA4000713,L8311UE,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,2022-9-10
REQ22SUB00107,ORGANDA,0000000911647884,CA4000087,L8744UF,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-15,2024-8-15,2022-8-9,2022-8-9,2022-8-15
REQ22SUB00108,ORGANDA,0000000664740045,CA4000088,L8839UR,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-15,2024-8-15,2022-8-9,2022-8-9,2022-8-15
REQ22SUB00109,ORGANDA,0000000917620108,CA4000089,L8925UE,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-15,2024-8-15,2022-8-9,2022-8-9,2022-8-15
REQ22SUB00110,ORGANDA,0000000911957900,CA4000091,L9094UC,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-15,2024-8-15,2022-8-9,2022-8-9,2022-8-15
REQ22SUB00111,ORGANDA,0000000907504332,CA4000092,L8216UW,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-15,2024-8-15,2022-8-9,2022-8-9,2022-8-15
REQ22SUB00112,ORGANDA,,CA4000714,L8225UW,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,2022-9-10
REQ22SUB00113,ORGANDA,,CA4000715,L8365UM,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,2022-9-10
REQ22SUB00114,ORGANDA,,,L9073UX,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,
REQ22SUB00115,ORGANDA,,CA4000779,L9392UY,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,2022-9-11
REQ22SUB00116,ORGANDA,,CA4000780,L9424UY,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,2022-9-11
REQ22SUB00117,ORGANDA,,CA4000781,L8765UZ,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-9,2022-9-9,2022-9-11
REQ22SUB00118,ORGANDA,,CA4000782,L8953UD,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00119,ORGANDA,,CA4000783,L8012UJ,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00120,ORGANDA,,CA4000784,L8020UJ,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00121,ORGANDA,,CA4000785,L8578UJ,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00122,ORGANDA,,CA4000786,L8579UJ,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00123,ORGANDA,,CA4000787,L8874UH,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00124,ORGANDA,0000000579886814,CA4000101,L9212UH,PT. HERCULES EKSPRES INTERNASIONAL,2022-8-15,2024-8-15,2022-8-10,2022-8-10,2022-8-15
REQ22SUB00125,ORGANDA,,CA4000788,L8625UE,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00126,ORGANDA,,CA4000789,L8636UE,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00127,ORGANDA,,CA4000790,L8644UE,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00128,ORGANDA,,CA4000791,L8661UE,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00129,ORGANDA,,CA4000792,L9050UI,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00130,ORGANDA,,CA4000793,L9102UI,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00131,ORGANDA,,CA4000794,L9103UI,PT. HERCULES EKSPRES INTERNASIONAL,,,2022-8-10,2022-9-9,2022-9-11
REQ22SUB00132,MANDIRI,0000000914235276,NA4000002,L8002UI,PLANET EXSPRESS TRANSJAYA,2022-8-24,2024-8-24,2022-8-11,2022-8-20,2022-8-24
REQ22SUB00133,ORGANDA,,CA4000795,L8518UM,PT. SARANA MEGAH TRANS,,,2022-8-11,2022-9-9,2022-9-11
REQ22SUB00134,ORGANDA,,CA4000796,L8255UX,PT. SARANA MEGAH TRANS,,,2022-8-11,2022-9-9,2022-9-11
REQ22SUB00135,ORGANDA,,CA4000797,B9032SEH,PT. SARANA MEGAH TRANS,,,2022-8-11,2022-9-9,2022-9-11
REQ22SUB00136,APTRINDO,0000000961536492,CA4000106,L8531UL,PT AL AMIN LOGISTIK INDONESIA BHIRAWA,2022-8-22,2024-8-22,2022-8-12,2022-8-19,2022-8-22
REQ22SUB00137,ORGANDA,,CA4000798,L9647UP,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00138,ORGANDA,,CA4000799,L8327UO,PT. SARANA RINTASINDAH,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00139,ORGANDA,,CA4000800,L9678UQ,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00140,ORGANDA,,CA4000801,L9668NO,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00141,ORGANDA,,CA4000802,L9870UP,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00142,ORGANDA,,CA4000803,L9599UW,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00143,ORGANDA,,CA4000641,L9002UZ,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-10
REQ22SUB00144,ORGANDA,,CA4000642,L9471UY,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-10
REQ22SUB00145,ORGANDA,,CA4000645,L9645UP,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-10
REQ22SUB00146,ORGANDA,,CA4000804,L8773UD,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00147,ORGANDA,,CA4000805,L9961UT,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00148,ORGANDA,,CA4000806,L9834UO,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00149,ORGANDA,,CA4000807,L8928UH,PT. SARANA MEGAH TRANS,,,2022-8-12,2022-9-9,2022-9-11
REQ22SUB00150,ORGANDA,,CA4000820,L9880UY,PT. SEGORO KEDUNG AGOENG,,,2022-8-13,2022-9-9,2022-9-12
REQ22SUB00151,ORGANDA,,CA4000823,L9771UT,PT. SEGORO KEDUNG AGOENG,,,2022-8-13,2022-9-9,2022-9-12
REQ22SUB00152,ORGANDA,,CA4000825,L9547UX,PT. SEGORO KEDUNG AGOENG,,,2022-8-13,2022-9-9,2022-9-12
REQ22SUB00153,ORGANDA,,CA4000841,L9878UY,PT. SEGORO KEDUNG AGOENG,,,2022-8-13,2022-9-9,2022-9-12
REQ22SUB00154,ORGANDA,,CA4000845,L8895UN,PT. SEGORO KEDUNG AGOENG,,,2022-8-13,2022-9-9,2022-9-12
REQ22SUB00155,ORGANDA,,CA4000843,L8879UN,PT. SEGORO KEDUNG AGOENG,,,2022-8-13,2022-9-9,2022-9-12
REQ22SUB00156,ORGANDA,0000000665848269,CA4000097,L9999UL,PT. FAJAR MULIA TRANSINDO,2022-8-15,2024-8-15,2022-8-13,2022-8-13,2022-8-15
REQ22SUB00157,ORGANDA,0000000572201950,CA4000099,L8000UL,PT. FAJAR MULIA TRANSINDO,2022-8-15,2024-8-15,2022-8-13,2022-8-13,2022-8-15
REQ22SUB00157,ORGANDA,0000000912702348,CA4000100,L8118UJ,PT. FAJAR MULIA TRANSINDO,2022-8-15,2024-8-15,2022-8-13,2022-8-13,2022-8-15
REQ22SUB00158,ORGANDA,0000000920224140,CA4000098,L8118UM,PT. FAJAR MULIA TRANSINDO,2022-8-15,2024-8-15,2022-8-13,2022-8-13,2022-8-15
REQ22SUB00159,ORGANDA,0000000922366092,CA4000095,L8888UK,PT. FAJAR MULIA TRANSINDO,2022-8-15,2024-8-15,2022-8-13,2022-8-13,2022-8-15
REQ22SUB00160,ORGANDA,0000000913988748,CA4000096,L9009UK,PT. FAJAR MULIA TRANSINDO,2022-8-15,2024-8-15,2022-8-13,2022-8-13,2022-8-15
REQ22SUB00161,ORGANDA,0000000971208684,CA4000090,L9009UM,PT. FAJAR MULIA TRANSINDO,2022-8-15,2024-8-15,2022-8-13,2022-8-13,2022-8-15
